Guessed state,x_cor,y_cor
California,-297,13
Alabama,139,-77
Alaska,-204,-170
Hawaii,-317,-143
Indiana,133,39
Arkansas,57,-53
Arizona,-203,-40
Arizona,-203,-40
California,-297,13
Arizona,-203,-40
California,-297,13
Georgia,182,-75
Arizona,-203,-40
California,-297,13
Georgia,182,-75
Florida,220,-145
Arizona,-203,-40
California,-297,13
Georgia,182,-75
Florida,220,-145
Hawaii,-317,-143
Arizona,-203,-40
California,-297,13
Georgia,182,-75
Florida,220,-145
Hawaii,-317,-143
Idaho,-216,122
Arizona,-203,-40
California,-297,13
Georgia,182,-75
Florida,220,-145
Hawaii,-317,-143
Idaho,-216,122
Kansas,-17,5
